# file: B.lightp.info_solutions.txt
# This file contains columns of 
# instanceDef, instanceInit, valueBest, isProven, coordBestList 
# Parameters associated with instances such as  i-4-X-X, i-6-X-X, etc
# trigger the cost function to return 0-value sfor all coordinates
# which then induce a random self-avoiding walk which eventually
# will get trapped (unless it completes a Hamiltonian walk by chance).
#
# most instances below have been obtained (and verified) by way of the internet solver under
# http://www.ueda.info.waseda.ac.jp/~n-kato/lightsout/
#
# instanceDef  instanceInit                                        valueBest  isProven  cardinality   coordBestList (comma-separated, first two solutions or so)
i-4-a-0        1000                                                  0            1          1        1110 
i-4-b-0        0110                                                  0            1          1        0110
i-4-X-X        0000                                                 -1           NA         NA        NA
i-6-a-0        110100                                                0            1          4        100000,001101,011010,110111 
i-6-a-1        100000                                                1            1          8        000000,001110,011001,100011,110100,010111,101101,111010
i-6-X-X        000000                                               -1           NA         NA        NA
i-9-a-0        001001011                                             0            1          1        101100010
i-9-b-0        000010101                                             0            1          1        111010010
i-9-c-0        010100111                                             0            1          1        011110110
i-9-d-0        000111000                                             0            1          1        101111101
i-9-e-0        000000111                                             0            1          1        010111000
i-9-X-X        000000000                                            -1           NA         NA        NA

i-12-a-0       111100000000                                          0            1          1        011001101111
i-12-b-0       000011110000                                          0            1          1        011010010110
i-12-c-0       000101101000                                          0            1          1        110100001011
i-12-X-X       000000000000                                         -1           NA         NA        NA

i-16-a-0       1100100000000000                                      0            1          16       1000000000000000,0000110010100111
i-16-b-0       1000110010000000                                      0            1          16       0000100000000000,0100011000011101
i-16-a-1       1110100000000000                                      1            1          16       1000000000000000,0000110010100111         
i-16-b-1       1100110010000000                                      1            1          16       0000100000000000,0100011000011101
i-16-X-X       0000000000000000                                     -1           NA         NA        NA

i-20-a-0       11111111110000000000                                  0            1          1?       11111100011101110001
i-20-b-0       00000111111111100000                                  0            1          1?       00100011100111000100
i-20-c-0       11000110001100011000                                  0            1          1?       11111101101011011111    
i-20-d-0       01100011000110001100                                  0            1          1?       11000010000100011000
i-20-e-0       01110011100111001110                                  0            1          1?       10101110111101110101 
i-20-X-X       00000000000000000000                                 -1           NA         NA        NA

i-25-a-0       1000001000001000001000001                             0            1          1?       0010111101001001011110100
i-25-a-1       1000001000001000001000000                             1            0          2?       0011011000010100011100010,0100001100100101011100010
i-25-b-0       0100011100010000000000000                             0            1          1?       0000001000000000000000000
i-25-b-1       1100011100010000000000000                             1            0          1?       ?
i-25-X-X       0000000000000000000000000                            -1           NA         NA        NA

i-30-a-0       100000010000001000000100000010                        0            1          1?       100011010100000101010001111010

i-36-a-0       100000010000001000000100000010000001                  0            1          1?       100000010000001000000100000010000001

i-49-a-0       1000000010000000100000001000000010000000100000001     0            1          1?       1000000010000000100000001000000010000000100000001
i-49-b-0       1000000100000010000001000000100000010000001000000     0            1          1?       1011110000110100011111011011000111100011011011110
i-49-b-0       0100000010000001000000100000010000001000000100000     0            1          1?       0010011001110000110010011011001100100111000010011
# instanceDef  instanceInit                                        valueBest  isProven  cardinality   coordBestList 
